14001	驾驶机动车遇到这种情况要如何行驶？	连续鸣喇叭通过	低速缓慢通过	加速通过	保持正常车速行驶	1	b	1	1
14002	驾驶机动车遇到这样的情况要停车让行。	正确	错误	0	0	1	a	1	2
14003	在路口遇到这种情况的行人，如何做到礼让？	从行人间低速穿过	停车等待行人通过	加速从行人前绕过	在远处鸣喇叭催促	1	b	1	1
14004	夜间会车时，对面来车不关闭远光灯怎么办？	交替变换远近光灯，提醒来车	及时减速让行，必要时靠边停车	开启远光灯，迫使来车变换灯光	视线向右平移，防止眩目	0	a,b,d	3	3
14005	驾驶机动车遇到这种情形怎么办？	迅速从车左侧超越	连续鸣喇叭告知	迅速从车右侧超越	保持较大跟车距离	1	d	1	1
14006	驾驶机动车在路口遇到这种情况要随时准备停车礼让。	正确	错误	0	0	1	a	1	2
14007	驾驶汽车遇到牲畜横穿抢道的情况，要及时鸣喇叭进行驱赶。	正确	错误	0	0	0	b	2	2
14008	驾驶机动车遇到校车在道路右侧停车上下学生，同向只有一条机动车道时，后方机动车应当停车等待。	正确	错误	0	0	0	a	1	2
14009	行车中不应该有以下哪些行为？	变更车道不开启转向灯	经常观察后视镜	长时间抓变带速杆	左臂长时间搭在车门窗上	0	a,c,d	2	3
14010	驾驶机动车遇到骑自行车人占道影响通行时，可连续鸣喇叭加速从其左侧绕行。	正确	错误	0	0	0	b	1	2
14011	驾驶机动车变更车道时，属于交通陋习的是什么行为？	不得妨碍其他车道正常行驶的车	随意并线	提前开启转向灯	仔细观察后变车道	0	b	2	1
14012	驾驶机动车变更车道时，属于交通陋习的是什么行为？	正确	错误	0	0	0	b	1	2
14013	在正常行车中，尽量靠近中心线或压线行驶，不给对向机动车留有侵占行驶路线的机会。	正确	错误	0	0	0	b	1	2
14014	变更车道或超车不开启转向灯属于违法行为。	正确	错误	0	0	0	a	1	2
14015	当您遇到以下车辆时，需要礼让的是什么？	校车	救护车	警车	消防车	0	a,b,c,d	2	3
14016	驾驶机动车在转弯之前应留意旁边行驶的自行车，是因为自行车比较小，不太容易被看到。	正确	错误	0	0	0	a	2	2
14017	机动车行经没有交通信号的道路，遇行人横过道路时,以下做法错误的是什么？	绕前通过	鸣喇叭催促	寻找间隙穿插驶过	减速或停车避让	0	a,b,c	2	3
14018	驾驶机动车在高速公路匝道上行驶，前方车辆速度过慢，可以超车。	正确	错误	0	0	0	b	1	2
14019	驾驶机动车驶离高速公路时，在进入减速车道前，应提前开启右转向灯，警示后方车辆。	正确	错误	0	0	0	a	1	2
14020	如图所示，A车在这样的路口可以借用非机动车道右转弯。	正确	错误	0	0	1	b	2	2
14021	驾驶机动车遇到非机动车违法在机动车道上行驶，并阻碍机动车前进时，以下做法错误的是什么？	注意非机动车辆的方向，减速行驶	保持与非机动车安全车距	谨慎驾驶低速通过	持续鸣喇叭警告非机动车避让	0	d	3	1
14022	驾驶机动车在遇到有前方机动车停车排队等候或者缓慢行驶时，可进入网状线区域停车等候。	正确	错误	0	0	0	b	2	2
14023	驾驶机动车下长坡时，连续使用行车制动器，以下说法正确的是什么？	容易造成车辆倾翻	增加车辆油耗	会使制动器温度升高而使制动效能下降	会缩短发动机寿命	0	c	3	1
14024	夜间驾驶机动车起步应首先开启近光灯。	正确	错误	0	0	0	a	2	2
14025	夜间驾驶机动车会车时，对方一直使用远光灯，以下做法正确的是什么？	降低车速，靠右行驶	变换远光灯行驶	不停变换远近光灯及鸣喇叭提醒对方	视线适当右移，避免直视灯光	0	a,d	3	3
14026	如图所示，驾驶机动车遇到这种情形时，可以从左侧超越。	正确	错误	0	0	1	b	1	2
14027	如图所示，驾驶机动车跟随前车右转弯时，应当注意的是什么？	行人可能突然进入本车前的人行横道	右侧视野盲区内可能有自行车直行	直行的黄色车辆可能影响本车右转弯	前面的车可能停下	1	a,b,d	3	3
14028	夜间驾驶机动车开启灯光，不仅为了看清路况，更重要的是让其他交通参与者能够观察到我方车辆。	正确	错误	0	0	0	a	1	2
14029	驾驶机动车在高速公路匝道上行驶，当有人给您打电话的时候，可以靠边停车，接打电话。	正确	错误	0	0	0	b	2	2
14030	行车中遇到对向来车占道行驶，应怎样做？	紧靠道路中心行驶	主动给对方让行	逼对方靠右行驶	用大灯警示对方	0	b	1	1
14031	如图所示，前车乘车人的行为是不文明的。	正确	错误	0	0	1	a	1	2
14032	驾驶机动车会车时，当视线受阻不利于观察到对向来车时，双方都应做到减速靠右通过，并鸣喇叭示意。	正确	错误	0	0	0	a	1	2
14033	如图所示，驾驶机动车A遇到异常行驶的车辆B，A车应当减速避让，确保安全。	正确	错误	0	0	1	a	1	2
14034	驾驶机动车在高速公路匝道上行驶，当有人给您打电话的时候，可以靠边停车，接打电话。	正确	错误	0	0	0	b	2	2
